outcome,predictor,logloss_age,logloss_age_plus_pred,logloss_pred_alone,gain_added_to_age
Q1,Sex,0.32977524268670866,0.3214739882527052,0.32099008219804537,0.00830125443400348
Q1,Education (3-level),0.32977524268670866,0.33025463767798013,0.3300191823272872,-0.00047939499127147567
Q1,Personal income (3-level),0.32977524268670866,0.32903318032999024,0.3286961289201133,0.0007420623567184204
Q1,Religiosity,0.32977524268670866,0.32819631971139607,0.3279913740176819,0.001578922975312591
Q1,Subjective social class,0.32977524268670866,0.3299425498449303,0.32965089065159187,-0.00016730715822166342
Q1,Employment status,0.32977524268670866,0.32877379060430184,0.3290147306808017,0.0010014520824068174
Q1,Marital status,0.32977524268670866,0.32315460341605556,0.3227091459102004,0.006620639270653095
Q2,Sex,0.8322261409637918,0.8191557199907245,0.8190853698828189,0.01307042097306732
Q2,Education (3-level),0.8322261409637918,0.8322951868494913,0.8324622013620179,-6.904588569955905e-05
Q2,Personal income (3-level),0.8322261409637918,0.8326401531624184,0.8325488870920141,-0.0004140121986265788
Q2,Religiosity,0.8322261409637918,0.8326808506399896,0.8328344646390263,-0.00045470967619787306
Q2,Subjective social class,0.8322261409637918,0.8338191546931366,0.8341972059048774,-0.0015930137293448388
Q2,Employment status,0.8322261409637918,0.833953219397166,0.834119298636726,-0.001727078433374274
Q2,Marital status,0.8322261409637918,0.8228127563435521,0.8232711618988506,0.009413384620239662
Q3,Sex,0.8570606927441391,0.857683037103959,0.8607786527325227,-0.000622344359819893
Q3,Education (3-level),0.8570606927441391,0.8601595484087051,0.8628930872504383,-0.003098855664566025
Q3,Personal income (3-level),0.8570606927441391,0.8593914174064791,0.8626781356188615,-0.002330724662339967
Q3,Religiosity,0.8570606927441391,0.8543300988308733,0.8569506630678468,0.0027305939132657997
Q3,Subjective social class,0.8570606927441391,0.8562997733615351,0.8594063196878825,0.0007609193826040306
Q3,Employment status,0.8570606927441391,0.8584133382393736,0.8592433285072406,-0.0013526454952345057
Q3,Marital status,0.8570606927441391,0.8578284292446006,0.8605996185542024,-0.0007677365004614689
Q4,Sex,1.2282447374090064,1.2276632439127064,1.2277306335751903,0.0005814934962999896
Q4,Education (3-level),1.2282447374090064,1.2285621163185463,1.229019270707153,-0.00031737890953986714
Q4,Personal income (3-level),1.2282447374090064,1.2295212458249791,1.2293602249507902,-0.0012765084159727103
Q4,Religiosity,1.2282447374090064,1.2200575550081108,1.220101255142327,0.008187182400895665
Q4,Subjective social class,1.2282447374090064,1.2270103652314797,1.2274183577379563,0.0012343721775267547
Q4,Employment status,1.2282447374090064,1.2255605007822694,1.225373552769308,0.002684236626737002
Q4,Marital status,1.2282447374090064,1.228189039452214,1.2290174355329824,5.569795679249978e-05
Q5,Sex,1.1871865201948586,1.1870879223082087,1.2341157134716336,9.859788664989821e-05
Q5,Education (3-level),1.1871865201948586,1.1850311833651506,1.226615652803886,0.002155336829708032
Q5,Personal income (3-level),1.1871865201948586,1.18582175427935,1.2279974292207942,0.0013647659155084924
Q5,Religiosity,1.1871865201948586,1.1753894242119136,1.223674680804971,0.011797095982944983
Q5,Subjective social class,1.1871865201948586,1.1827783586372271,1.2299798455474795,0.0044081615576314626
Q5,Employment status,1.1871865201948586,1.1348466810461586,1.1463043581702856,0.052339839148699996
Q5,Marital status,1.1871865201948586,1.1884022249900021,1.232583812965273,-0.0012157047951435462
Q7,Sex,0.5531174312846792,0.553872490668986,0.5521819839483944,-0.0007550593843068665
Q7,Education (3-level),0.5531174312846792,0.5436426163331796,0.5419003080230959,0.0094748149514996
Q7,Personal income (3-level),0.5531174312846792,0.5540227474196612,0.5523766055260103,-0.0009053161349820149
Q7,Religiosity,0.5531174312846792,0.553322646493028,0.5517147244090788,-0.000205215208348819
Q7,Subjective social class,0.5531174312846792,0.5465499708251661,0.5448048156712086,0.006567460459513064
Q7,Employment status,0.5531174312846792,0.55161319450043,0.5502439831609418,0.0015042367842491577
Q7,Marital status,0.5531174312846792,0.5522490341607961,0.5505129630423263,0.0008683971238830912
Q8,Sex,0.689528633751936,0.6838124310006992,0.6854379996278411,0.005716202751236743
Q8,Education (3-level),0.689528633751936,0.6892725385314121,0.6900943027833799,0.00025609522052383316
Q8,Personal income (3-level),0.689528633751936,0.6900555353014974,0.6909892884766764,-0.000526901549561476
Q8,Religiosity,0.689528633751936,0.6807125832750488,0.6814742978001745,0.00881605047688716
Q8,Subjective social class,0.689528633751936,0.6910971099973828,0.6929478391682897,-0.0015684762454468704
Q8,Employment status,0.689528633751936,0.6903310087882149,0.6918301806725882,-0.0008023750362788906
Q8,Marital status,0.689528633751936,0.69053342901584,0.6922197943895328,-0.001004795263904068
Q9,Sex,0.6824877276281249,0.6781228698323012,0.6864420119243052,0.00436485779582374
Q9,Education (3-level),0.6824877276281249,0.6804708868638923,0.6875987122274353,0.002016840764232586
Q9,Personal income (3-level),0.6824877276281249,0.6799017257432933,0.684332035331853,0.0025860018848316013
Q9,Religiosity,0.6824877276281249,0.6824472569172135,0.6901400074645236,4.0470710911399976e-05
Q9,Subjective social class,0.6824877276281249,0.6842810436223707,0.6920417156186756,-0.0017933159942458143
Q9,Employment status,0.6824877276281249,0.6816348313898001,0.685246628239663,0.0008528962383248517
Q9,Marital status,0.6824877276281249,0.6827675616419735,0.6900731402567744,-0.00027983401384856776
Q10,Sex,0.6914260255912408,0.6903828983344729,0.6894405376996587,0.0010431272567679173
Q10,Education (3-level),0.6914260255912408,0.692427006984937,0.6916769328415323,-0.0010009813936961987
Q10,Personal income (3-level),0.6914260255912408,0.6933206974624878,0.6926946843709041,-0.0018946718712470334
Q10,Religiosity,0.6914260255912408,0.6915230597765522,0.690694881715533,-9.70341853113732e-05
Q10,Subjective social class,0.6914260255912408,0.6932582293231976,0.6922946424555663,-0.0018322037319568052
Q10,Employment status,0.6914260255912408,0.6924138643131572,0.6919735681238419,-0.0009878387219164342
Q10,Marital status,0.6914260255912408,0.6913598948113577,0.690583946735859,6.613077988304461e-05
Q11,Sex,0.6623713339159942,0.6620172306167119,0.6728507938969422,0.00035410329928231565
Q11,Education (3-level),0.6623713339159942,0.6611188212538222,0.6699815775164224,0.0012525126621720784
Q11,Personal income (3-level),0.6623713339159942,0.6637103536232589,0.6745656353428895,-0.001339019707264688
Q11,Religiosity,0.6623713339159942,0.6583544195925828,0.6678576587419098,0.004016914323411447
Q11,Subjective social class,0.6623713339159942,0.663533379328052,0.6747942221483474,-0.0011620454120577772
Q11,Employment status,0.6623713339159942,0.6608044854547788,0.6674678528550724,0.0015668484612154643
Q11,Marital status,0.6623713339159942,0.660389492233296,0.6705706895208859,0.0019818416826982155
Q12,Sex,0.4631960120107036,0.4579367155566372,0.457250577376322,0.00525929645406642
Q12,Education (3-level),0.4631960120107036,0.4627511190340071,0.46193778423978876,0.000444892976696476
Q12,Personal income (3-level),0.4631960120107036,0.4623752760268195,0.46129956806325784,0.0008207359838841022
Q12,Religiosity,0.4631960120107036,0.4622495517295636,0.4613817125556855,0.0009464602811399825
Q12,Subjective social class,0.4631960120107036,0.463614146603224,0.46279951117679374,-0.00041813459252038054
Q12,Employment status,0.4631960120107036,0.4635983326254706,0.46284806902186365,-0.00040232061476702663
Q12,Marital status,0.4631960120107036,0.46279264953358,0.46198965190247465,0.0004033624771235811
Q13,Sex,0.6171468156224239,0.6175901830491908,0.6208342390428578,-0.0004433674267668719
Q13,Education (3-level),0.6171468156224239,0.6134927221769438,0.6143257452301286,0.0036540934454800666
Q13,Personal income (3-level),0.6171468156224239,0.6171122456470843,0.6196996233803086,3.456997533957118e-05
Q13,Religiosity,0.6171468156224239,0.6181711624988148,0.6212843635289595,-0.001024346876390858
Q13,Subjective social class,0.6171468156224239,0.618190251190813,0.6214799804810563,-0.0010434355683890395
Q13,Employment status,0.6171468156224239,0.6166077296312575,0.6165490413538794,0.0005390859911663659
