id,cluster,prob_cluster_0,prob_cluster_1
1.0,0,1.0,5.4204489641672454e-17
2.0,1,4.583752729637421e-07,0.9999995416247229
3.0,0,0.999999999999261,7.523779138885347e-13
4.0,0,1.0,3.7241221134931856e-29
5.0,1,4.7086631429001e-22,1.0
6.0,0,1.0,5.449797892115136e-17
7.0,0,1.0,1.0546282689288069e-21
8.0,1,8.227112831210757e-05,0.9999177288717056
9.0,0,0.9999999345385525,6.546146273686757e-08
10.0,1,3.466507751961324e-17,1.0
11.0,0,1.0,3.304320490637934e-19
12.0,0,0.9999999999999432,2.950799461333209e-14
13.0,0,1.0,7.780441485940292e-33
14.0,0,0.9999999999996589,3.4324901037179617e-13
15.0,1,2.1360303691460938e-07,0.9999997863969498
16.0,0,0.9999999999999432,4.9286754473750784e-14
17.0,0,0.9999990596116265,9.403883820724314e-07
18.0,1,8.515094601473131e-22,1.0
19.0,0,1.0,3.814400393853961e-21
20.0,0,0.9918661559202103,0.00813384407979314
21.0,1,7.62228885231901e-73,1.0
22.0,0,1.0,2.744585744969964e-16
23.0,1,1.3847271289758355e-31,1.0
24.0,1,0.007696795838129471,0.9923032041618802
25.0,0,0.9999999490036671,5.099632290675485e-08
26.0,1,2.3072529193927952e-32,1.0
27.0,1,4.562145130059275e-13,0.9999999999995453
28.0,0,0.9999999993679012,6.321235123955326e-10
29.0,0,1.0,9.132934909811494e-33
30.0,1,5.1507653082807634e-48,1.0
31.0,1,4.1579787094385783e-17,1.0
32.0,0,0.9999999999507736,4.9234845899387256e-11
33.0,1,1.2539209289784375e-17,1.0
34.0,1,3.4642753299436848e-09,0.9999999965357347
35.0,0,1.0,2.992217265459557e-23
36.0,0,0.9999999999996874,3.263011414682511e-13
37.0,0,1.0,3.536453908889017e-16
38.0,1,7.008262592014887e-29,1.0
39.0,1,2.1816998324216822e-15,1.0
40.0,0,1.0,3.4271190649266337e-17
41.0,1,2.5843747375096686e-25,1.0
42.0,0,1.0,1.360262919265407e-36
43.0,1,2.108205421950325e-29,1.0
44.0,1,5.5391809822116965e-06,0.9999944608190041
45.0,0,0.9999999486641982,5.133582527215651e-08
46.0,0,0.9999997802717885,2.1972820381211117e-07
47.0,1,4.818852356312815e-07,0.9999995181147507
48.0,0,1.0,6.112616169292882e-25
49.0,1,3.1017244379487755e-30,1.0
50.0,0,0.9999999536871667,4.63128319319685e-08
51.0,0,0.9999999999996021,3.9563704749505793e-13
