id,cluster,prob_cluster_0,prob_cluster_1
1.0,0,1.0,5.4204489641677076e-17
2.0,1,4.5837527296371603e-07,0.9999995416247229
3.0,0,0.999999999999261,7.523779138885347e-13
4.0,0,1.0,3.7241221134932915e-29
5.0,1,4.708663142900368e-22,1.0
6.0,0,1.0,5.449797892115445e-17
7.0,0,1.0,1.0546282689289269e-21
8.0,1,8.227112831210757e-05,0.9999177288717056
9.0,0,0.9999999345385525,6.546146273686757e-08
10.0,1,3.466507751961324e-17,1.0
11.0,0,1.0,3.304320490637934e-19
12.0,0,0.9999999999999432,2.950799461333209e-14
13.0,0,1.0,7.780441485940956e-33
14.0,0,0.9999999999996589,3.432490103718059e-13
15.0,1,2.1360303691460938e-07,0.9999997863969498
16.0,0,0.9999999999999432,4.928675447375639e-14
17.0,0,0.9999990596116265,9.403883820725116e-07
18.0,1,8.51509460147168e-22,1.0
19.0,0,1.0,3.814400393854069e-21
20.0,0,0.9918661559202103,0.008133844079793603
21.0,1,7.622288852317277e-73,1.0
22.0,0,1.0,2.7445857449701197e-16
23.0,1,1.384727128975757e-31,1.0
24.0,1,0.007696795838129471,0.9923032041618802
25.0,0,0.9999999490036671,5.099632290676065e-08
26.0,1,2.307252919392664e-32,1.0
27.0,1,4.562145130059016e-13,0.9999999999995453
28.0,0,0.9999999993679012,6.321235123956045e-10
29.0,0,1.0,9.132934909812012e-33
30.0,1,5.1507653082804705e-48,1.0
31.0,1,4.1579787094385783e-17,1.0
32.0,0,0.9999999999507736,4.923484589939425e-11
33.0,1,1.2539209289783661e-17,1.0
34.0,1,3.464275329943291e-09,0.9999999965357347
35.0,0,1.0,2.992217265459728e-23
36.0,0,0.9999999999996874,3.263011414682789e-13
37.0,0,1.0,3.536453908889218e-16
38.0,1,7.008262592014489e-29,1.0
39.0,1,2.1816998324216822e-15,1.0
40.0,0,1.0,3.4271190649266337e-17
41.0,1,2.5843747375095216e-25,1.0
42.0,0,1.0,1.3602629192654458e-36
43.0,1,2.1082054219499655e-29,1.0
44.0,1,5.539180982211539e-06,0.9999944608190041
45.0,0,0.9999999486641982,5.1335825272159426e-08
46.0,0,0.9999997802717885,2.1972820381211117e-07
47.0,1,4.818852356312266e-07,0.9999995181147507
48.0,0,1.0,6.112616169292534e-25
49.0,1,3.1017244379487755e-30,1.0
50.0,0,0.9999999536871667,4.631283193196982e-08
51.0,0,0.9999999999996021,3.9563704749505793e-13
52.0,0,1.0,1.8208632595773464e-15
53.0,0,1.0,2.296759460364527e-28
