id,cluster,prob_cluster_0,prob_cluster_1
1.0,0,1.0,9.102086010550818e-15
2.0,1,4.684595934715633e-15,1.0
3.0,0,0.9997531016707295,0.00024689832924451187
4.0,0,1.0,1.2442392042956518e-21
5.0,0,0.9999999999408828,5.910299376189856e-11
6.0,0,1.0,2.967830023743709e-16
7.0,0,1.0,2.310899260160382e-18
8.0,1,1.0828354616016599e-07,0.9999998917164478
9.0,0,0.9999999999734257,2.6583808096502856e-11
10.0,1,3.6555286621880034e-24,1.0
11.0,0,0.9999999999999716,2.37878578243472e-14
12.0,0,0.9999999999256204,7.437914381383417e-11
13.0,0,1.0,2.2208373579896625e-28
14.0,0,0.9999999999742784,2.5735269957663807e-11
15.0,1,6.617508021299882e-14,0.9999999999999432
16.0,0,1.0,6.233394098397259e-18
17.0,0,0.9521689333627544,0.04783106663723604
18.0,1,2.4622394690828294e-16,1.0
19.0,0,1.0,8.974273116584177e-17
20.0,1,0.017637394037732682,0.9823626059622744
21.0,1,4.912112258560233e-96,1.0
22.0,0,1.0,7.01555799049367e-21
23.0,1,7.341189728364592e-51,1.0
24.0,0,0.99334028609343,0.006659713906565741
25.0,1,1.2707223263641228e-07,0.9999998729277958
26.0,1,9.969086911008474e-50,1.0
27.0,1,3.435548297437382e-15,1.0
28.0,1,7.437527492446861e-05,0.9999256247250854
29.0,0,1.0,1.8716338605569757e-28
30.0,1,1.5292261670979272e-30,1.0
31.0,1,1.6684442067990778e-19,1.0
32.0,0,0.999881829227987,0.00011817077202651391
33.0,1,8.973975024293106e-07,0.999999102602492
34.0,1,4.1388412631146737e-14,0.9999999999999716
35.0,0,1.0,1.9106176841354185e-19
36.0,0,0.9999995535660136,4.4643398050020397e-07
37.0,0,0.9999999999998863,1.0012167426171087e-13
38.0,1,2.2580200613160554e-22,1.0
39.0,1,0.0008121159767655474,0.999187884023217
40.0,0,0.9999999999990337,9.631301983319455e-13
41.0,1,8.409708271423733e-06,0.9999915902917332
42.0,0,1.0,2.3715244771072587e-33
43.0,1,1.6157135102913255e-26,1.0
44.0,1,1.3264345779017863e-06,0.9999986735654134
45.0,0,0.9875387864128041,0.012461213587194656
46.0,0,0.9998151801441569,0.000184819855823922
47.0,1,8.426509886878843e-12,0.9999999999915872
48.0,0,1.0,8.924474033874553e-22
49.0,1,1.3801274262701222e-39,1.0
50.0,0,0.9999896318550198,1.0368144967449603e-05
51.0,0,0.9999780047947135,2.1995205282467307e-05
52.0,0,0.9980802788925452,0.0019197211074586575
53.0,0,1.0,1.6101000577348937e-23
54.0,1,3.485538312811111e-05,0.9999651446168856
55.0,0,1.0,8.105123382946654e-16
56.0,0,0.999963089367216,3.691063277580822e-05
57.0,1,3.2342645007916743e-06,0.9999967657354893
58.0,0,0.9999995102471138,4.897528588014106e-07
59.0,0,0.9994976318813842,0.0005023681186118198
60.0,0,0.9999997665500177,2.3344998415689502e-07
61.0,1,3.4608763532686253e-15,1.0
62.0,1,0.33487940233687663,0.6651205976631306
63.0,1,7.571434576608955e-10,0.9999999992428457
64.0,0,0.999999999725901,2.7411169313465157e-10
65.0,0,0.9999999999989768,9.960799968413655e-13
66.0,1,4.986500011549384e-29,1.0
67.0,0,1.0,1.3619570257233509e-14
68.0,1,1.172540454585229e-30,1.0
69.0,0,1.0,4.2318070500368086e-24
70.0,1,9.708230178781561e-22,1.0
71.0,0,0.999922526132118,7.747386788414352e-05
72.0,1,3.862093898490416e-10,0.9999999996137774
73.0,0,1.0,1.2357873156203198e-18
74.0,0,0.9999857804472213,1.4219552785825492e-05
75.0,0,0.9999797322808668,2.026771911938051e-05
76.0,0,1.0,9.131366910628948e-19
77.0,1,5.29964097757873e-63,1.0
78.0,1,3.361337906689566e-26,1.0
79.0,1,0.0035398027249620824,0.9964601972750305
80.0,0,1.0,2.279195468904777e-29
81.0,0,0.9999999999996021,3.90316361230738e-13
82.0,1,1.9536147434296684e-07,0.9999998046385392
83.0,1,1.6097786625686976e-29,1.0
84.0,0,1.0,1.7523250850202909e-23
85.0,1,7.513291251151745e-83,1.0
86.0,0,1.0,1.8068905693255335e-19
87.0,0,0.9999695447695687,3.045523043801384e-05
88.0,0,0.9999999948767311,5.123261618683136e-09
89.0,0,1.0,9.896450454479867e-20
90.0,0,0.9999999898064971,1.0193516239054025e-08
91.0,1,2.7951014855187437e-05,0.9999720489851516
92.0,0,0.9999999999997726,2.308243099966347e-13
93.0,1,2.8874447844087144e-10,0.9999999997112354
94.0,0,1.0,1.7968765345829306e-34
95.0,0,0.9878740526978617,0.012125947302139351
96.0,0,1.0,1.2634770983371297e-24
97.0,1,6.223467348562462e-55,1.0
98.0,1,6.753185685521861e-11,0.99999999993247
99.0,1,7.612621783185982e-57,1.0
100.0,0,1.0,2.309502835331016e-24
101.0,0,0.9999999999629949,3.7014908158131296e-11
102.0,0,0.9950398886479271,0.0049601113520678815
103.0,1,3.126146355968521e-05,0.999968738536462
