id,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
1.0,2,1.4224330885514157e-21,1.5554347766240546e-11,0.9999999999844533
2.0,1,3.528105596207208e-16,1.0,1.2737357786080353e-37
3.0,1,1.1415414889428262e-23,1.0,6.719788013252793e-25
4.0,2,4.870477008699181e-38,0.0013962998948391652,0.9986037001051564
5.0,0,1.0,7.659638996714307e-92,2.1501968980985133e-19
6.0,2,1.153341008664357e-22,2.7202880022169803e-11,0.999999999972772
7.0,2,4.571715092061576e-27,2.1548291796541832e-15,1.0
8.0,1,6.483709340533229e-05,0.9999351628612825,4.5297315359919916e-11
9.0,2,6.348370817442249e-10,7.129263981681112e-18,0.9999999993651727
10.0,1,2.013605210725316e-06,0.9999979863947979,1.3481650349578344e-54
11.0,2,9.819459141983324e-25,0.005884237803562704,0.9941157621964629
12.0,2,1.4501141562067657e-17,0.0001774416947499413,0.9998225583052338
13.0,2,2.5538684217998255e-41,7.487633312659096e-21,1.0
14.0,2,4.152325515386634e-15,0.03985782535579619,0.960142174644196
15.0,0,0.9999547809571514,4.521904283089419e-05,2.4810989313363438e-25
16.0,2,7.211305429495235e-20,3.276587410376752e-29,1.0
17.0,1,1.6074777742448197e-09,0.9979135446078542,0.002086453784669939
18.0,0,0.9999999999731131,2.688197495223124e-11,8.841428414396847e-56
19.0,2,3.3402793530923464e-27,1.567572339962003e-29,1.0
20.0,1,2.677760068691709e-09,0.9999999973222202,8.027973931402472e-22
21.0,0,1.0,2.4695792759036276e-63,4.194991658197406e-162
22.0,1,1.737362409487561e-18,1.0,7.167509736639962e-15
23.0,1,2.2833896493901943e-06,0.9999977166103725,6.687634259027673e-84
24.0,1,1.6661057572845525e-09,0.9999999983270698,6.826223573197203e-12
25.0,1,9.583085493701706e-21,1.0,4.68306564925541e-71
26.0,0,1.0,1.9966061188808686e-24,5.702571816619877e-107
27.0,1,1.0034019025088317e-08,0.9999999899659997,2.580362187629525e-37
28.0,1,2.558097732360682e-24,1.0,8.89373383055933e-23
29.0,2,1.0379011874561521e-41,1.6113157936827103e-22,1.0
30.0,0,1.0,1.9105710235415299e-34,9.329021494723188e-81
31.0,0,0.9999999980657321,1.9342500163166583e-09,4.186262928170384e-50
32.0,1,2.4989288648501628e-20,0.9999999429675216,5.7032485211871187e-08
